election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
32,SK,269,"HUMBOLDT--LAKE CENTRE",6981,13243,,11591,,NDP,PC,Lib
32,SK,270,"KINDERSLEY--LLOYDMINSTER",6631,9589,294,14220,,PC,NDP,Lib
32,SK,271,"MACKENZIE",4548,10435,165,10794,,PC,NDP,Lib
32,SK,272,"MOOSE JAW",5713,10641,188,14330,,PC,NDP,Lib
32,SK,273,"PRINCE ALBERT",10919,11601,,10819,,NDP,Lib,PC
32,SK,274,"QU'APPELLE--MOOSE MOUNTAIN",6042,7872,,13676,,PC,NDP,Lib
32,SK,275,"REGINA EAST",10302,13630,476,12602,,NDP,PC,Lib
32,SK,276,"REGINA WEST",10190,17353,206,13374,,NDP,PC,Lib
32,SK,277,"SASKATOON EAST",11483,12985,791,12373,,NDP,PC,Lib
32,SK,278,"SASKATOON WEST",8116,14852,97,17636,,PC,NDP,Lib
32,SK,279,"SWIFT CURRENT--MAPLE CREEK",5673,8338,,12917,,PC,NDP,Lib
32,SK,280,"THE BATTLEFORDS--MEADOW LAKE",8088,9819,178,9343,,NDP,PC,Lib
32,SK,281,"YORKTON--MELVILLE",5664,15240,,12450,,NDP,PC,Lib
32,YK,282,"YUKON",3825,1918,,3926,,PC,Lib,NDP
