election_id,prov_code,ed_id,ed_name,Con,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
28,MB,48,"PORTAGE",,8415,3184,,8025,,,Lib,PC,NDP
28,MB,49,"PROVENCHER",,9021,3078,,7791,,1773,Lib,PC,NDP
28,MB,50,"SELKIRK",,12020,17310,,8781,,707,NDP,Lib,PC
28,MB,51,"ST. BONIFACE",,22032,11566,,8048,,949,Lib,NDP,PC
28,MB,52,"WINNIPEG NORTH",,14645,15608,869,3206,,,NDP,Lib,PC
28,MB,53,"WINNIPEG NORTH CENTRE",,11323,14880,,4124,,,NDP,Lib,PC
28,MB,54,"WINNIPEG SOUTH",,23457,5499,,15209,,,Lib,PC,NDP
28,MB,55,"WINNIPEG SOUTH CENTRE",,23775,8240,632,13268,,,Lib,PC,NDP
28,NB,56,"CARLETON--CHARLOTTE",,8330,848,,15469,,,PC,Lib,NDP
28,NB,57,"FUNDY--ROYAL",,9435,1316,,17013,,,PC,Lib,NDP
28,NB,58,"GLOUCESTER",,12196,1007,,8960,,,Lib,PC,NDP
28,NB,59,"MADAWASKA--VICTORIA",,9924,379,,9541,,,Lib,PC,NDP
28,NB,60,"MONCTON",,15013,2332,553,17969,,,PC,Lib,NDP
28,NB,61,"NORTHUMBERLAND--MIRAMICHI",,10292,1290,,7853,,,Lib,PC,NDP
28,NB,62,"RESTIGOUCHE",,9991,748,,7049,,1769,Lib,PC,SoCred
28,NB,63,"SAINT JOHN--LANCASTER",,12160,1508,268,15756,,,PC,Lib,NDP
28,NB,64,"WESTMORLAND--KENT",,11519,1821,,8265,,,Lib,PC,NDP
28,NB,65,"YORK--SUNBURY",,12983,1028,,17394,,,PC,Lib,NDP
28,NL,66,"BONAVISTA--TRINITY--CONCEPTION",,10082,532,,14823,,,PC,Lib,NDP
28,NL,67,"BURIN--BURGEO",,8674,758,,5440,,,Lib,PC,NDP
28,NL,68,"GANDER--TWILLINGATE",,9016,352,,10601,,,PC,Lib,NDP
28,NL,69,"GRAND FALLS--WHITE BAY--LABRADOR",,9587,571,,10322,,,PC,Lib,NDP
28,NL,70,"HUMBER--ST. GEORGE'S--ST. BARBE",,9482,3276,,9765,,,PC,Lib,NDP
28,NL,71,"ST. JOHN'S EAST",,10558,956,,18153,,126,PC,Lib,NDP
28,NL,72,"ST. JOHN'S WEST",,11150,597,,15379,,,PC,Lib,NDP
28,NS,73,"ANNAPOLIS VALLEY",,12342,1007,,17435,,,PC,Lib,NDP
28,NS,74,"CAPE BRETON HIGHLANDS--CANSO",,13725,445,,13195,,,Lib,PC,NDP
28,NS,75,"CAPE BRETON--EAST RICHMOND",,8284,7749,,11583,,,PC,Lib,NDP
28,NS,76,"CAPE BRETON--THE SYDNEYS",,10543,3426,,14971,,,PC,Lib,NDP
28,NS,77,"CENTRAL NOVA",,9499,2330,,16720,,,PC,Lib,NDP
28,NS,78,"CUMBERLAND--COLCHESTER NORTH",,10139,1696,,18446,,,PC,Lib,NDP
28,NS,79,"DARTMOUTH--HALIFAX EAST",,14429,1572,,19694,,,PC,Lib,NDP
28,NS,80,"HALIFAX",,11555,1314,,19569,,,PC,Lib,NDP
28,NS,81,"HALIFAX--EAST HANTS",,13488,1718,,22323,,,PC,Lib,NDP
28,NS,82,"SOUTH SHORE",,11668,764,,17547,,,PC,Lib,NDP
28,NS,83,"SOUTH WESTERN NOVA",,12290,655,293,14543,,,PC,Lib,NDP
28,NT,84,"NORTHWEST TERRITORIES",,6018,1203,,2211,,,Lib,PC,NDP
28,ON,85,"ALGOMA",,9542,4057,,5270,,,Lib,PC,NDP
28,ON,86,"BRANT",,16029,12333,,11901,,,Lib,NDP,PC
28,ON,87,"BROADVIEW",,9929,10406,202,4752,,,NDP,Lib,PC
28,ON,88,"BRUCE",,12775,2911,,11674,,,Lib,PC,NDP
28,ON,89,"COCHRANE",,9803,7034,,2875,,433,Lib,NDP,PC
28,ON,90,"DAVENPORT",,10736,5865,,4688,,,Lib,NDP,PC
28,ON,91,"DON VALLEY",,27335,3863,,22359,,,Lib,PC,NDP
28,ON,92,"EGLINTON",,23215,4654,164,11155,,,Lib,PC,NDP
28,ON,93,"ELGIN",,12856,4227,,11799,,,Lib,PC,NDP
28,ON,94,"ESSEX",,14707,9399,,5485,,,Lib,NDP,PC
