election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,BC,28,"VANCOUVER EAST",12490,,9196,,1398,,5975,CCF,Lib,SoCred
19,BC,29,"VANCOUVER NORTH",9832,,10496,,,7186,,Lib,CCF,PC
19,BC,30,"VANCOUVER SOUTH",6062,,13451,,,18470,,PC,Lib,CCF
19,BC,31,"VANCOUVER--BURRARD",10745,,12617,,,9475,,Lib,CCF,PC
19,BC,32,"VICTORIA",3352,,13887,,,9193,,Lib,PC,CCF
19,BC,33,"YALE",7428,,6805,,,8599,,PC,CCF,Lib
19,MB,34,"BRANDON",2609,,8908,,,6168,,Lib,PC,CCF
19,MB,35,"CHURCHILL",,,8276,,,4963,,Lib,PC,CCF
19,MB,36,"DAUPHIN",5142,,5953,,,5900,,Lib,PC,CCF
19,MB,37,"LISGAR",1160,,5221,,,2433,685,Lib,PC,CCF
19,MB,38,"MACDONALD",2639,,,,7728,4510,,Other,PC,CCF
19,MB,39,"MARQUETTE",,,,,12286,4545,,Other,PC,Con
19,MB,40,"NEEPAWA",,,6724,,,4865,2208,Lib,PC,SoCred
19,MB,41,"PORTAGE LA PRAIRIE",,,7442,,,4835,,Lib,PC,CCF
19,MB,42,"PROVENCHER",841,,3768,,5094,1441,1099,Other,Lib,PC
19,MB,43,"SELKIRK",6869,,11023,,,3890,,Lib,CCF,PC
19,MB,44,"SOURIS",1370,,4861,,,4991,,PC,Lib,CCF
19,MB,45,"SPRINGFIELD",7018,,7462,,,3311,,Lib,CCF,PC
19,MB,46,"ST. BONIFACE",1739,,7926,,216,3578,1839,Lib,PC,SoCred
19,MB,47,"WINNIPEG NORTH",11249,,13015,,5315,2255,,Lib,CCF,Other
19,MB,48,"WINNIPEG NORTH CENTRE",11324,,11199,,,5412,,CCF,Lib,PC
19,MB,49,"WINNIPEG SOUTH",3912,,15461,,,8445,,Lib,PC,CCF
19,MB,50,"WINNIPEG SOUTH CENTRE",5576,,19486,,,10698,,Lib,PC,CCF
19,NB,51,"CHARLOTTE",,,6099,,,4391,,Lib,PC,CCF
19,NB,52,"GLOUCESTER",,,10451,,,5447,,Lib,PC,CCF
19,NB,53,"KENT",,,5582,,,3032,,Lib,PC,CCF
19,NB,54,"NORTHUMBERLAND",,,5072,,2679,5149,,PC,Lib,Other
19,NB,55,"RESTIGOUCHE--MADAWASKA",,,12164,,,5239,,Lib,PC,CCF
19,NB,56,"ROYAL",,,7196,,,8017,,PC,Lib,Con
19,NB,57,"ST. JOHN--ALBERT",761,,14197,,,15110,,PC,Lib,CCF
19,NB,58,"VICTORIA--CARLETON",,,7283,,,7974,,PC,Lib,Con
