election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
41,ON,35038,"Kitchener--Conestoga",,28902,2184,10653,11665,,Con,NDP,Lib
41,ON,35039,"Kitchener--Waterloo",,27039,3158,24895,10606,485,Con,Lib,NDP
41,ON,35040,"Lanark--Frontenac--Lennox and Addington",,33754,2702,9940,12174,370,Con,NDP,Lib
41,ON,35041,"Leeds--Grenville",,29991,2460,7839,9033,,Con,NDP,Lib
41,ON,35042,"London--Fanshawe",,14294,1202,4893,21689,535,NDP,Con,Lib
41,ON,35043,"London North Centre",,19468,2177,17803,12996,229,Con,Lib,NDP
41,ON,35044,"London West",,27675,1703,16652,16109,65,Con,Lib,NDP
41,ON,35045,"Markham--Unionville",,17734,1597,19429,10897,231,Lib,Con,NDP
41,ON,35046,"Lambton--Kent--Middlesex",,29546,1701,7264,12299,413,Con,NDP,Lib
41,ON,35047,"Mississauga--Brampton South",,23632,1044,18579,9465,127,Con,Lib,NDP
41,ON,35048,"Mississauga East--Cooksville",,18796,1032,18120,8836,241,Con,Lib,NDP
41,ON,35049,"Mississauga--Erindale",,29793,1694,21541,10327,99,Con,Lib,NDP
41,ON,35050,"Mississauga South",,22991,1532,18393,6354,194,Con,Lib,NDP
41,ON,35051,"Mississauga--Streetsville",,22104,1802,18651,7834,,Con,Lib,NDP
41,ON,35052,"Nepean--Carleton",,43477,3260,20146,12962,,Con,Lib,NDP
41,ON,35053,"Newmarket--Aurora",,31600,2628,13908,8886,1180,Con,Lib,NDP
41,ON,35054,"Niagara Falls",,28748,2086,10206,12681,259,Con,NDP,Lib
41,ON,35055,"Niagara West--Glanbrook",,33701,2530,8699,12734,1199,Con,NDP,Lib
41,ON,35056,"Nickel Belt",,12503,1252,6308,24566,59,NDP,Con,Lib
41,ON,35057,"Nipissing--Timiskaming",,15495,2518,15477,8781,,Con,Lib,NDP
41,ON,35058,"Northumberland--Quinte West",,32853,2733,12822,12626,,Con,Lib,NDP
41,ON,35059,"Oak Ridges--Markham",,46241,2349,25561,15229,1080,Con,Lib,NDP
41,ON,35060,"Oakville",,30068,2140,17890,8117,,Con,Lib,NDP
41,ON,35061,"Oshawa",,26034,1631,3536,19212,321,Con,NDP,Lib
41,ON,35062,"Ottawa Centre",,14063,3262,13049,33805,689,NDP,Con,Lib
41,ON,35063,"Ottawa--Orléans",,28584,1839,24649,9086,,Con,Lib,NDP
41,ON,35064,"Ottawa South",,19634,1787,25963,10712,895,Lib,Con,NDP
41,ON,35065,"Ottawa--Vanier",,14184,2716,20009,15391,122,Lib,NDP,Con
41,ON,35066,"Ottawa West--Nepean",,25226,2279,17790,11128,,Con,Lib,NDP
41,ON,35067,"Oxford",,27973,2058,4521,12164,776,Con,NDP,Lib
41,ON,35068,"Parkdale--High Park",,7924,1666,16757,24046,552,NDP,Lib,Con
41,ON,35069,"Parry Sound--Muskoka",,25864,3776,5330,11217,222,Con,NDP,Lib
41,ON,35070,"Perth--Wellington",,25281,2112,8341,9861,806,Con,NDP,Lib
41,ON,35071,"Peterborough",,29393,2105,12664,14723,293,Con,NDP,Lib
41,ON,35072,"Pickering--Scarborough East",,19220,1751,18013,8932,,Con,Lib,NDP
41,ON,35073,"Prince Edward--Hastings",,29062,1887,10230,12940,454,Con,NDP,Lib
41,ON,35074,"Renfrew--Nipissing--Pembroke",,27462,877,6545,6903,9611,Con,Other,NDP
41,ON,35075,"Richmond Hill",,22078,1832,17671,8433,,Con,Lib,NDP
41,ON,35076,"St. Catharines",,25571,1924,10358,11973,448,Con,NDP,Lib
41,ON,35077,"St. Paul's",,17864,2495,22409,12124,303,Lib,Con,NDP
41,ON,35078,"Sarnia--Lambton",,26112,1252,6931,14856,514,Con,NDP,Lib
41,ON,35079,"Sault Ste. Marie",,18328,945,8343,16467,149,Con,NDP,Lib
41,ON,35080,"Scarborough--Agincourt",,13930,946,18498,7376,,Lib,Con,NDP
41,ON,35081,"Scarborough Centre",,13498,998,12028,11443,,Con,Lib,NDP
41,ON,35082,"Scarborough--Guildwood",,13158,848,13849,10145,259,Lib,Con,NDP
41,ON,35083,"Scarborough--Rouge River",,13935,684,12699,18935,357,NDP,Con,Lib
41,ON,35084,"Scarborough Southwest",,12830,1635,11699,14119,,NDP,Con,Lib
41,ON,35085,"Simcoe--Grey",,31784,3482,8207,11185,9715,Con,NDP,Other
41,ON,35086,"Simcoe North",,31581,3489,11090,11515,322,Con,NDP,Lib
41,ON,35087,"Stormont--Dundas--South Glengarry",,29538,1038,8510,8313,151,Con,Lib,NDP
41,ON,35088,"Sudbury",,12881,1359,8172,22684,345,NDP,Con,Lib
41,ON,35089,"Thornhill",,36629,1562,14125,7141,215,Con,Lib,NDP
41,ON,35090,"Thunder Bay--Rainy River",,10097,909,8067,18085,,NDP,Con,Lib
41,ON,35091,"Thunder Bay--Superior North",,10894,1115,6117,18334,265,NDP,Con,Lib
41,ON,35092,"Timmins--James Bay",,10526,724,5230,16738,,NDP,Con,Lib
41,ON,35093,"Toronto Centre",,12604,2796,22832,16818,620,Lib,NDP,Con
41,ON,35094,"Toronto--Danforth",,6885,3107,8472,29235,387,NDP,Lib,Con
41,ON,35095,"Trinity--Spadina",,10976,2861,15276,35601,596,NDP,Lib,Con
41,ON,35096,"Vaughan",,38533,1515,20435,7940,,Con,Lib,NDP
41,ON,35097,"Welland",,20895,1297,7276,21917,539,NDP,Con,Lib
41,ON,35098,"Wellington--Halton Hills",,35132,3527,9034,7146,316,Con,Lib,NDP
41,ON,35099,"Whitby--Oshawa",,37525,3143,9066,14305,198,Con,NDP,Lib
41,ON,35100,"Willowdale",,22207,,21275,9777,,Con,Lib,NDP
41,ON,35101,"Windsor--Tecumseh",,14945,1354,5764,22235,242,NDP,Con,Lib
41,ON,35102,"Windsor West",,12577,1096,4327,21592,153,NDP,Con,Lib
41,ON,35103,"York Centre",,20356,979,13979,6656,,Con,Lib,NDP
41,ON,35104,"York--Simcoe",,33614,2851,5702,10190,509,Con,NDP,Lib
41,ON,35105,"York South--Weston",,8559,975,11542,14122,,NDP,Lib,Con
41,ON,35106,"York West",,6122,450,13030,7721,401,Lib,NDP,Con
41,PE,11001,"Cardigan",,8107,373,10486,2164,,Lib,Con,NDP
41,PE,11002,"Charlottetown",,6040,417,7292,4632,87,Lib,Con,NDP
41,PE,11003,"Egmont",,10467,320,5997,2369,,Con,Lib,NDP
41,PE,11004,"Malpeque",,7934,785,8605,2970,,Lib,Con,NDP
41,QC,24001,"Abitibi--Témiscamingue",15258,4777,694,2859,24763,,NDP,Bloc,Con
41,QC,24002,"Ahuntsic",14908,3770,620,13087,14200,299,Bloc,NDP,Lib
41,QC,24003,"Alfred-Pellan",12504,6157,798,12070,23098,245,NDP,Bloc,Lib
41,QC,24004,"Argenteuil--Papineau--Mirabel",16880,6497,1506,7135,25802,459,NDP,Bloc,Lib
41,QC,24005,"Beauce",3535,26799,852,5833,15831,,Con,NDP,Lib
41,QC,24006,"Beauharnois--Salaberry",18182,7049,1003,4559,23998,,NDP,Bloc,Con
41,QC,24007,"Beauport--Limoilou",10250,13845,950,3162,24306,246,NDP,Con,Bloc
41,QC,24008,"Berthier--Maskinongé",16668,7904,1196,8060,22403,373,NDP,Bloc,Lib
41,QC,24009,"Bourassa",6105,3354,613,15550,12270,121,Lib,NDP,Bloc
41,QC,24010,"Brome--Missisquoi",11173,6256,1120,11589,22407,,NDP,Lib,Bloc
41,QC,24011,"Brossard--La Prairie",10890,7806,900,16976,25512,110,NDP,Lib,Bloc
41,QC,24012,"Chambly--Borduas",19147,5425,1072,6165,29591,7843,NDP,Bloc,Other
41,QC,24013,"Charlesbourg--Haute-Saint-Charles",8732,16220,832,3505,24131,189,NDP,Con,Bloc
41,QC,24014,"Montmorency--Charlevoix--Haute-Côte-Nord",16425,9660,814,2628,17601,,NDP,Bloc,Con
41,QC,24015,"Châteauguay--Saint-Constant",14957,5756,923,5069,29156,162,NDP,Bloc,Con
41,QC,24016,"Chicoutimi--Le Fjord",14675,12881,780,2852,19430,340,NDP,Bloc,Con
41,QC,24017,"Compton--Stanstead",13179,5982,1241,6132,24097,,NDP,Bloc,Lib
41,QC,24018,"Drummond",10410,7555,987,3979,24489,,NDP,Bloc,Con
41,QC,24019,"Gaspésie--Îles-de-la-Madeleine",11650,6292,913,5533,12427,,NDP,Bloc,Con
41,QC,24020,"Gatineau",8619,4532,639,7975,35262,,NDP,Bloc,Lib
41,QC,24021,"Hochelaga",14451,3126,798,5064,22314,569,NDP,Bloc,Lib
41,QC,24022,"Honoré-Mercier",8935,5992,770,14641,17545,351,NDP,Lib,Bloc
41,QC,24023,"Hull--Aylmer",5019,6058,1125,12051,35194,,NDP,Lib,Con
41,QC,24024,"Jeanne-Le Ber",12635,4678,1377,10054,23293,121,NDP,Bloc,Lib
41,QC,24025,"Joliette",18804,5525,2227,3545,27050,,NDP,Bloc,Con
41,QC,24026,"Jonquière--Alma",9554,18569,652,1043,22900,,NDP,Con,Bloc
41,QC,24027,"Lac-Saint-Louis",1689,15394,2315,18457,16253,,Lib,NDP,Con
41,QC,24028,"La Pointe-de-l'Île",15475,3664,898,4369,23033,213,NDP,Bloc,Lib
41,QC,24029,"LaSalle--Émard",6151,5516,946,11172,17691,496,NDP,Lib,Bloc
41,QC,24030,"Laurentides--Labelle",17799,5246,1423,7169,24800,149,NDP,Bloc,Lib
41,QC,24031,"Laurier--Sainte-Marie",17991,1764,1324,4976,23373,685,NDP,Bloc,Lib
41,QC,24032,"Laval",11567,6366,1260,9422,22050,224,NDP,Bloc,Lib
41,QC,24033,"Laval--Les Îles",7022,8587,966,11108,25703,563,NDP,Lib,Con
41,QC,24034,"Lévis--Bellechasse",8757,25850,903,3421,19890,,Con,NDP,Bloc
41,QC,24035,"Longueuil--Pierre-Boucher",14181,4339,1032,5321,27119,228,NDP,Bloc,Lib
41,QC,24036,"Lotbinière--Chutes-de-la-Chaudière",8381,22460,936,2866,21683,,Con,NDP,Bloc
41,QC,24037,"Louis-Hébert",14640,13207,996,8110,23373,143,NDP,Bloc,Con
41,QC,24038,"Louis-Saint-Laurent",8148,21334,857,3612,22629,175,NDP,Con,Bloc
41,QC,24039,"Manicouagan",10495,3878,898,1882,16437,,NDP,Bloc,Con
41,QC,24040,"Marc-Aurèle-Fortin",15470,5768,1208,7035,29107,,NDP,Bloc,Lib
41,QC,24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia",12633,5253,707,8964,7484,,Bloc,Lib,NDP
41,QC,24042,"Mégantic--L'Érable",7481,21931,655,2601,11716,250,Con,NDP,Bloc
41,QC,24043,"Montcalm",19609,5118,2347,3501,34434,,NDP,Bloc,Con
41,QC,24044,"Mount Royal",1136,13891,683,16151,6963,183,Lib,Con,NDP
