election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,ON,155,"MISSISSAUGA EAST--COOKSVILLE",,10299,1167,22435,4619,1046,Lib,ConParty,NDP
38,ON,156,"MISSISSAUGA SOUTH",,16027,1899,24628,5004,107,Lib,ConParty,NDP
38,ON,157,"MISSISSAUGA--BRAMPTON SOUTH",,10433,1525,24753,6411,185,Lib,ConParty,NDP
38,ON,158,"MISSISSAUGA--ERINDALE",,16600,1855,28246,5104,145,Lib,ConParty,NDP
38,ON,159,"MISSISSAUGA--STREETSVILLE",,14287,2415,22768,4266,1293,Lib,ConParty,NDP
38,ON,160,"NEPEAN--CARLETON",,30420,2886,26684,6072,561,ConParty,Lib,NDP
38,ON,161,"NEWMARKET--AURORA",,21818,2298,21129,5111,1079,ConParty,Lib,NDP
38,ON,162,"NIAGARA FALLS",,19882,2071,18745,10680,,ConParty,Lib,NDP
38,ON,163,"NIAGARA WEST--GLANBROOK",,20874,1761,20210,7681,1286,ConParty,Lib,NDP
38,ON,164,"NICKEL BELT",,7628,1031,17188,13980,698,Lib,NDP,ConParty
38,ON,165,"NIPISSING--TIMISKAMING",,16001,1329,18254,7354,204,Lib,ConParty,NDP
38,ON,166,"NORTHUMBERLAND--QUINTE WEST",,22676,3016,22989,9007,,Lib,ConParty,NDP
38,ON,167,"OAK RIDGES--MARKHAM",,20712,2406,31964,5430,1278,Lib,ConParty,NDP
38,ON,168,"OAKVILLE",,19524,2861,28729,4027,95,Lib,ConParty,NDP
38,ON,169,"OSHAWA",,15815,1850,14510,15352,91,ConParty,NDP,Lib
38,ON,170,"OTTAWA CENTRE",,11933,4730,19478,25734,809,NDP,Lib,ConParty
38,ON,171,"OTTAWA SOUTH",,20622,3398,25956,8080,1174,Lib,ConParty,NDP
38,ON,172,"OTTAWA WEST--NEPEAN",,22591,2748,23971,7449,619,Lib,ConParty,NDP
38,ON,173,"OTTAWA--ORLÉANS",,23655,2699,26383,5905,,Lib,ConParty,NDP
38,ON,174,"OTTAWA--VANIER",,12769,3628,25952,9787,643,Lib,ConParty,NDP
38,ON,175,"OXFORD",,20606,1951,14011,6673,2662,ConParty,Lib,NDP
38,ON,176,"PARKDALE--HIGH PARK",,7221,3249,19727,16201,514,Lib,NDP,ConParty
38,ON,177,"PARRY SOUND--MUSKOKA",,15970,3524,19271,5171,,Lib,ConParty,NDP
38,ON,178,"PERTH--WELLINGTON",,18879,2770,15032,7027,1273,ConParty,Lib,NDP
38,ON,179,"PETERBOROUGH",,18393,3182,25099,10957,,Lib,ConParty,NDP
38,ON,180,"PICKERING--SCARBOROUGH EAST",,13417,1809,27312,5392,,Lib,ConParty,NDP
38,ON,181,"PRINCE EDWARD--HASTINGS",,22598,2130,20042,8105,468,ConParty,Lib,NDP
38,ON,182,"RENFREW--NIPISSING--PEMBROKE",,27494,1191,14798,5720,714,ConParty,Lib,NDP
38,ON,183,"RICHMOND HILL",,11530,2144,27102,4495,1074,Lib,ConParty,NDP
38,ON,184,"SARNIA--LAMBTON",,14500,2548,19932,7764,2797,Lib,ConParty,NDP
38,ON,185,"SAULT STE. MARIE",,9969,814,15760,16512,67,NDP,Lib,ConParty
38,ON,186,"SCARBOROUGH CENTRE",,8515,1045,20740,6156,152,Lib,ConParty,NDP
38,ON,187,"SCARBOROUGH SOUTHWEST",,9028,1520,18776,8471,168,Lib,ConParty,NDP
38,ON,188,"SCARBOROUGH--AGINCOURT",,8649,919,26400,4182,1048,Lib,ConParty,NDP
38,ON,189,"SCARBOROUGH--GUILDWOOD",,8277,1106,20950,5885,200,Lib,ConParty,NDP
