election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
36,QC,263,"QUÉBEC EAST",23245,,18539,1240,,14533,1483,Bloc,Lib,PC
36,QC,264,"REPENTIGNY",33283,,12495,916,,12436,,Bloc,Lib,PC
36,QC,265,"RICHELIEU",26421,,13941,1028,,6827,,Bloc,Lib,PC
36,QC,266,"RICHMOND--ARTHABASKA",19319,,10613,641,,21687,,PC,Bloc,Lib
36,QC,267,"RIMOUSKI--MITIS",17282,,11112,479,,7901,,Bloc,Lib,PC
36,QC,268,"ROBERVAL",16207,,8176,412,,6312,,Bloc,Lib,PC
36,QC,269,"ROSEMONT",23313,,15952,1637,941,7727,,Bloc,Lib,PC
36,QC,270,"SAINT-BRUNO--SAINT-HUBERT",23759,,17279,1032,,10579,,Bloc,Lib,PC
36,QC,271,"SAINT-EUSTACHE--SAINTE-THÉRÈSE",25807,,16280,947,,12522,,Bloc,Lib,PC
36,QC,272,"SAINT-HYACINTHE--BAGOT",21116,,10970,809,,16313,,Bloc,PC,Lib
36,QC,273,"SAINT-JEAN",22441,,13239,755,347,11938,,Bloc,Lib,PC
36,QC,274,"SAINT-LAMBERT",18458,,19436,921,304,8084,,Lib,Bloc,PC
36,QC,275,"SAINT-LAURENT--CARTIERVILLE",6276,,34598,910,,6861,681,Lib,PC,Bloc
36,QC,276,"SAINT-LÉONARD--SAINT-MICHEL",8457,,36088,1198,,5990,,Lib,Bloc,PC
36,QC,277,"SAINT-MAURICE",20664,,22266,489,,3657,,Lib,Bloc,PC
36,QC,278,"SHEFFORD",17376,,12699,531,,17897,,PC,Bloc,Lib
36,QC,279,"SHERBROOKE",16086,,4720,628,477,32228,,PC,Bloc,Lib
36,QC,280,"TERREBONNE--BLAINVILLE",28066,,14687,1090,,11883,,Bloc,Lib,PC
36,QC,281,"TROIS-RIVIÈRES",21267,,15692,528,503,12102,,Bloc,Lib,PC
36,QC,282,"TÉMISCAMINGUE",18528,,12678,654,,7879,,Bloc,Lib,PC
36,QC,283,"VAUDREUIL--SOULANGES",17574,,23676,538,490,9760,573,Lib,Bloc,PC
36,QC,284,"VERCHÈRES",30074,,12715,750,,12428,,Bloc,Lib,PC
36,QC,285,"VERDUN--SAINT-HENRI",15153,,21424,1156,703,6838,380,Lib,Bloc,PC
36,QC,286,"WESTMOUNT--VILLE-MARIE",5078,751,26972,2566,1706,7802,,Lib,PC,Bloc
36,SK,287,"BATTLEFORDS--LLOYDMINSTER",,,6155,8535,,2888,13125,Reform,NDP,Lib
