election_id,prov_code,ed_id,ed_name,Bloc,CdnAll,Grn,Lib,NDP,Other,PC,1st,2nd,3rd
37,MB,62,"CHARLESWOOD ST. JAMES--ASSINIBOIA",,11569,,13901,2786,138,9991,Lib,CdnAll,PC
37,MB,63,"CHURCHILL",,4126,,7514,10477,,1198,NDP,Lib,CdnAll
37,MB,64,"DAUPHIN--SWAN RIVER",,15855,,7091,5813,561,3946,CdnAll,Lib,NDP
37,MB,65,"PORTAGE--LISGAR",,17318,,6133,2073,3558,5339,CdnAll,Lib,PC
37,MB,66,"PROVENCHER",,21358,,14419,1980,,2726,CdnAll,Lib,PC
37,MB,67,"SAINT BONIFACE",,8962,,20173,5026,,4505,Lib,CdnAll,NDP
37,MB,68,"SELKIRK--INTERLAKE",,17856,,9612,8113,178,4992,CdnAll,Lib,NDP
37,MB,69,"WINNIPEG CENTRE",,3975,698,9310,11263,134,1915,NDP,Lib,CdnAll
37,MB,70,"WINNIPEG NORTH CENTRE",,,,6755,14356,525,2950,NDP,Lib,PC
37,MB,71,"WINNIPEG NORTH--ST. PAUL",,11412,232,14556,7931,444,2959,Lib,CdnAll,NDP
37,MB,72,"WINNIPEG SOUTH",,12638,,21433,4224,183,3599,Lib,CdnAll,NDP
37,MB,73,"WINNIPEG SOUTH CENTRE",,3210,,15231,7501,1023,10675,Lib,PC,NDP
37,MB,74,"WINNIPEG--TRANSCONA",,8336,229,6041,15680,351,2133,NDP,CdnAll,Lib
37,NB,75,"ACADIE--BATHURST",,2314,,20362,23568,,4321,NDP,Lib,PC
37,NB,76,"BEAUSÉJOUR--PETITCODIAC",,6256,,21465,3217,,14631,Lib,PC,CdnAll
37,NB,77,"FREDERICTON",,8814,,14175,2584,233,10919,Lib,PC,CdnAll
37,NB,78,"FUNDY--ROYAL",,8392,,11422,2628,,15279,PC,Lib,CdnAll
37,NB,79,"MADAWASKA--RESTIGOUCHE",,1958,,19913,1811,,14417,Lib,PC,CdnAll
37,NB,80,"MIRAMICHI",,5298,,17047,2453,,8341,Lib,PC,CdnAll
37,NB,81,"MONCTON--RIVERVIEW--DIEPPE",,8130,,26545,3139,297,7082,Lib,CdnAll,PC
37,NB,82,"NEW BRUNSWICK SOUTHWEST",,6562,,8442,1173,,14489,PC,Lib,CdnAll
37,NB,83,"SAINT JOHN",,2980,131,9535,2989,513,16751,PC,Lib,NDP
37,NB,84,"TOBIQUE--MACTAQUAC",,9573,,10897,1216,,10750,Lib,PC,CdnAll
37,NL,85,"BONAVISTA--TRINITY--CONCEPTION",,1051,,22096,6473,,11009,Lib,PC,NDP
37,NL,86,"BURIN--ST. GEORGE'S",,1511,,14603,924,7891,5798,Lib,Other,PC
37,NL,87,"GANDER--GRAND FALLS",,1912,,15874,2876,,8191,Lib,PC,NDP
37,NL,88,"HUMBER--ST. BARBE--BAIE VERTE",,1702,,15405,8297,,6340,Lib,NDP,PC
37,NL,89,"LABRADOR",,677,,7153,1284,,1254,Lib,NDP,PC
37,NL,90,"ST. JOHN'S EAST",,1144,,13835,5395,376,23606,PC,Lib,NDP
37,NL,91,"ST. JOHN'S WEST",,840,,14137,4744,141,22959,PC,Lib,NDP
37,NS,92,"BRAS D'OR--CAPE BRETON",,1483,,20815,7537,,8114,Lib,PC,NDP
37,NS,93,"CUMBERLAND--COLCHESTER",,4981,,10271,4629,,18716,PC,Lib,CdnAll
37,NS,94,"DARTMOUTH",,3282,,12408,13585,86,8085,NDP,Lib,PC
37,NS,95,"HALIFAX",,2346,587,13539,16563,740,7279,NDP,Lib,PC
37,NS,96,"HALIFAX WEST",,4531,,18327,14016,160,9701,Lib,NDP,PC
37,NS,97,"KINGS--HANTS",,4618,,13213,7244,1027,17612,PC,Lib,NDP
37,NS,98,"PICTOU--ANTIGONISH--GUYSBOROUGH",,2930,,12585,4498,552,19298,PC,Lib,NDP
37,NS,99,"SACKVILLE--MUSQUODOBOIT VALLEY--EASTERN SHORE",,4773,,12864,13619,658,7589,NDP,Lib,PC
37,NS,100,"SOUTH SHORE",,4697,,12677,4394,,14328,PC,Lib,CdnAll
37,NS,101,"SYDNEY--VICTORIA",,1528,,19388,14216,,3779,Lib,NDP,PC
37,NS,102,"WEST NOVA",,6581,,12783,3976,,12080,Lib,PC,CdnAll
37,NT,103,"WESTERN ARCTIC",,2273,,5855,3430,,1282,Lib,NDP,CdnAll
37,NU,104,"NUNAVUT",,,349,5327,1410,,633,Lib,NDP,PC
37,ON,105,"ALGOMA--MANITOULIN",,8992,428,15000,4326,,2269,Lib,CdnAll,NDP
37,ON,106,"ANCASTER--DUNDAS--FLAMBOROUGH--ALDERSHOT",,15272,,19921,3756,,9451,Lib,CdnAll,PC
37,ON,107,"BARRIE--SIMCOE--BRADFORD",,17600,,26309,2385,621,7588,Lib,CdnAll,PC
37,ON,108,"BEACHES--EAST YORK",,3838,599,22515,8936,1033,5766,Lib,NDP,PC
37,ON,109,"BRAMALEA--GORE--MALTON--SPRINGDALE",,7214,,21917,1864,1402,6019,Lib,CdnAll,PC
37,ON,110,"BRAMPTON CENTRE",,6247,628,18365,1795,,9229,Lib,PC,CdnAll
37,ON,111,"BRAMPTON WEST--MISSISSAUGA",,7666,529,31041,1567,,5957,Lib,CdnAll,PC
37,ON,112,"BRANT",,10955,484,24068,3126,447,3580,Lib,CdnAll,PC
37,ON,113,"BRUCE--GREY--OWEN SOUND",,15960,,19817,2166,,6872,Lib,CdnAll,PC
37,ON,114,"BURLINGTON",,11500,771,22175,1722,,11240,Lib,CdnAll,PC
