election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
31,ON,133,"LINCOLN",15026,13400,151,19612,,PC,Lib,NDP
31,ON,134,"LONDON EAST",16331,8531,135,13386,,Lib,PC,NDP
31,ON,135,"LONDON WEST",25258,9378,231,24746,,Lib,PC,NDP
31,ON,136,"LONDON--MIDDLESEX",13714,8855,241,14339,,PC,Lib,NDP
31,ON,137,"MISSISSAUGA NORTH",26881,11002,341,30531,,PC,Lib,NDP
31,ON,138,"MISSISSAUGA SOUTH",18710,8869,414,26802,,PC,Lib,NDP
31,ON,139,"NEPEAN--CARLETON",17108,7810,,36717,,PC,Lib,NDP
31,ON,140,"NIAGARA FALLS",15545,7757,135,16916,,PC,Lib,NDP
31,ON,141,"NICKEL BELT",15799,17772,103,7308,,NDP,Lib,PC
31,ON,142,"NIPISSING",15184,5681,,12987,,Lib,PC,NDP
31,ON,143,"NORTHUMBERLAND",10200,5150,,22536,,PC,Lib,NDP
31,ON,144,"ONTARIO",15730,11510,232,22583,,PC,Lib,NDP
31,ON,145,"OSHAWA",9099,29090,189,18369,,NDP,PC,Lib
31,ON,146,"OTTAWA CENTRE",19758,10213,659,18728,,Lib,PC,NDP
31,ON,147,"OTTAWA WEST",22985,7051,193,24981,,PC,Lib,NDP
31,ON,148,"OTTAWA--CARLETON",33972,8234,,26972,,Lib,PC,NDP
31,ON,149,"OTTAWA--VANIER",28098,7023,159,9098,,Lib,PC,NDP
31,ON,150,"OXFORD",12935,5980,227,23592,,PC,Lib,NDP
31,ON,151,"PARKDALE--HIGH PARK",15281,9539,531,15207,,Lib,PC,NDP
31,ON,152,"PARRY SOUND--MUSKOKA",11070,6270,,19223,,PC,Lib,NDP
31,ON,153,"PERTH",9255,4255,,19019,,PC,Lib,NDP
31,ON,154,"PETERBOROUGH",18288,8451,984,22195,,PC,Lib,NDP
31,ON,155,"PRINCE EDWARD--HASTINGS",12394,5833,261,21088,,PC,Lib,NDP
31,ON,156,"RENFREW--NIPISSING--PEMBROKE",20286,7133,,13781,,Lib,PC,NDP
31,ON,157,"ROSEDALE",12987,6902,865,18594,,PC,Lib,NDP
31,ON,158,"SARNIA",13872,10148,,15990,,PC,Lib,NDP
31,ON,159,"SAULT STE. MARIE",11574,12089,117,8668,,NDP,Lib,PC
31,ON,160,"SCARBOROUGH CENTRE",14323,9533,486,18688,,PC,Lib,NDP
31,ON,161,"SCARBOROUGH EAST",16002,8190,232,21381,,PC,Lib,NDP
31,ON,162,"SCARBOROUGH WEST",13523,13437,427,15697,,PC,Lib,NDP
31,ON,163,"SIMCOE NORTH",11099,11284,,19388,,PC,NDP,Lib
31,ON,164,"SIMCOE SOUTH",12687,8307,,25483,,PC,Lib,NDP
31,ON,165,"SPADINA",12542,8765,534,7213,,Lib,NDP,PC
31,ON,166,"ST. CATHARINES",14990,11897,337,23444,,PC,Lib,NDP
31,ON,167,"ST. PAUL'S",17949,5779,568,19161,,PC,Lib,NDP
31,ON,168,"STORMONT--DUNDAS",20581,5568,,17575,,Lib,PC,NDP
31,ON,169,"SUDBURY",20634,14252,1117,5656,,Lib,NDP,PC
31,ON,170,"THUNDER BAY--ATIKOKAN",11921,11667,205,10392,,Lib,NDP,PC
31,ON,171,"THUNDER BAY--NIPIGON",15674,11288,224,7749,,Lib,NDP,PC
31,ON,172,"TIMISKAMING",10900,11595,,6036,,NDP,Lib,PC
31,ON,173,"TIMMINS--CHAPLEAU",13577,10160,,7819,,Lib,NDP,PC
31,ON,174,"TRINITY",10206,5504,739,4843,,Lib,NDP,PC
31,ON,175,"VICTORIA--HALIBURTON",12004,6872,149,26624,,PC,Lib,NDP
31,ON,176,"WATERLOO",18172,9375,366,23837,,PC,Lib,NDP
31,ON,177,"WELLAND",16025,11151,363,15527,,Lib,PC,NDP
31,ON,178,"WELLINGTON--DUFFERIN--SIMCOE",11202,4744,,25807,,PC,Lib,NDP
31,ON,179,"WILLOWDALE",19848,7128,462,22238,,PC,Lib,NDP
31,ON,180,"WINDSOR WEST",16943,11906,176,5869,,Lib,NDP,PC
31,ON,181,"WINDSOR--WALKERVILLE",17561,15744,273,7265,,Lib,NDP,PC
31,ON,182,"YORK CENTRE",20859,10464,470,8856,,Lib,NDP,PC
31,ON,183,"YORK EAST",19091,8651,363,20372,125,PC,Lib,NDP
31,ON,184,"YORK NORTH",21990,7591,746,29011,,PC,Lib,NDP
